ID,Family_Income,Gender,Interaction_1,Interaction_2,Interaction_3,Interaction_4,Interaction_5,Interaction_6,Interaction_7,Interaction_8,Interaction_9,School_Readiness_1,School_Readiness_2,School_Readiness_3,School_Readiness_4,School_Readiness_5,School_Readiness_6,School_Readiness_7,School_Readiness_8,School_Readiness_9,School_Readiness_10,School_Readiness_11,School_Readiness_12,School_Readiness_13,School_Readiness_14,School_Readiness_15,School_Readiness_16,School_Readiness_17,School_Readiness_18,School_Readiness_19,School_Readiness_20,School_Readiness_21,School_Readiness_22,Self_Regulation_1,Self_Regulation_2,Self_Regulation_3,Self_Regulation_4,Self_Regulation_5,Self_Regulation_6,Self_Regulation_7
102026,350,2,2,3,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,2,3
102027,250,1,2,2,2,2,2,2,2,2,3,4,3,4,3,4,4,3,3,3,3,2,3,3,4,3,3,3,3,3,4,4,3,2,2,2,2,2,2,2
102029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102031,300,2,2,2,4,2,2,3,3,3,3,4,3,3,1,3,4,4,4,4,3,4,3,3,3,3,4,4,4,4,4,4,4,2,2,3,3,3,2,2
102032,250,2,2,2,2,1,2,2,2,1,2,4,4,3,3,4,3,3,3,4,3,3,3,3,3,4,4,4,3,3,4,4,3,2,3,2,2,3,3,3
102033,800,1,4,4,4,3,4,4,4,2,3,4,3,4,2,4,3,3,4,4,3,3,3,4,4,2,3,3,4,4,4,4,4,2,2,2,2,2,2,3
102034,550,2,2,4,3,2,2,2,2,2,2,4,3,4,3,4,4,4,4,3,2,4,3,4,3,3,3,3,4,4,4,4,3,2,2,3,3,3,3,3
103001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103002,200,1,1,2,1,2,1,2,1,2,2,3,3,4,2,3,4,3,2,2,2,2,3,3,4,4,3,3,2,3,4,3,4,1,2,1,2,3,1,1
103003,300,1,2,2,4,2,1,2,2,2,2,3,2,3,2,3,3,3,3,4,3,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
103004,600,2,4,4,3,3,2,3,3,2,3,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,2,3,2,3
103005,700,2,1,3,3,2,2,2,2,2,2,4,3,4,2,3,3,4,4,4,3,2,3,3,4,4,4,4,4,3,4,4,4,1,2,2,2,2,2,2
103006,500,1,4,4,4,3,3,3,3,3,3,4,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,3,2,2
103007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103013,600,2,3,4,3,3,2,3,2,2,3,4,4,3,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,2,2,3,3,3,3,3
103014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103015,400,1,2,2,1,2,1,2,1,1,1,4,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,3,3,2,2,3,2,2
103016,170,1,2,3,2,2,3,1,3,1,2,4,3,4,3,3,4,4,3,3,3,3,2,2,3,3,3,3,3,2,4,3,3,2,2,1,2,2,2,2
103017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
